Brand,Year,Model,Title,UsedOrNew,Transmission,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,CylindersinEngine,BodyType,Doors,Seats,State,Cylinders,Capacity
Holden,2011,Captiva,2011 Holden Captiva 7 LX (4X4),USED,Automatic,AWD,Diesel,8.3,228663.0,Black / -,4 cyl,SUV,4 Doors, 7 Seats,VIC,4.0,2.2
Audi,2015,Q5,2015 Audi Q5 2.0 Tfsi Quattro,USED,Automatic,AWD,Premium,7.9,140070.0,Black / -,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Toyota,1999,Landcruiser,1999 Toyota Landcruiser (4X4),USED,Manual,4WD,Diesel,7.6,41750.0,Red / Grey,6 cyl,Ute / Tray,2 Doors, 3 Seats,NSW,6.0,4.2
BMW,2016,X5,2016 BMW X5 Xdrive 30D,USED,Automatic,AWD,Diesel,6.2,101185.0,Black / -,6 cyl,SUV,4 Doors, 5 Seats,NSW,6.0,3.0
Audi,2018,Q3,2018 Audi Q3 1.4 Tfsi (110KW),USED,Automatic,Front,Premium,5.9,51350.0,White / Black,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,1.4
Holden,2016,Barina,2016 Holden Barina CD,USED,Automatic,Front,Unleaded,6.6,74950.0,Silver / -,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,1.6
Ford,2013,Territory,2013 Ford Territory TX (rwd),USED,Automatic,Rear,Unleaded,10.6,113496.0,Grey / -,6 cyl,SUV,4 Doors, 5 Seats,QLD,6.0,4.0
Volkswagen,2018,Multivan,2018 Volkswagen Multivan Comfortline TDI340 LWB,USED,Automatic,Front,Diesel,7.7,164988.0,White / -,4 cyl,Wagon,4 Doors, 7 Seats,NSW,4.0,2.0
Mitsubishi,2023,Outlander,2023 Mitsubishi Outlander LS Black Edition 7 Seat (2WD),NEW,Automatic,Front,Unleaded,7.7,5.0,Grey / Black Microsuede & Leatherette,4 cyl,SUV,4 Doors, 7 Seats,NSW,4.0,2.5
Mazda,2019,CX-5,2019 Mazda CX-5 Maxx Sport (4X4),USED,Automatic,AWD,Unleaded,7.5,32289.0,Grey / Black,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.5
Skoda,2010,Octavia,2010 Skoda Octavia 118 TSI,USED,Automatic,Front,Premium,6.7,212994.0,- / -,4 cyl,Wagon,4 Doors, 5 Seats,QLD,4.0,1.8
Ford,2018,Ranger,2018 Ford Ranger XL 2.2 HI-Rider (4X2) (5 YR),USED,Automatic,Rear,Diesel,7.8,242957.0,White / Black,4 cyl,Ute / Tray,4 Doors, 5 Seats, WA,4.0,2.2
Mitsubishi,1999,Lancer,1999 Mitsubishi Lancer EVOLUTION VI CP9A 4CYL 2.0L 5SP MANUAL 4D SEDAN,USED,Manual,Other,Unleaded,7.6,129101.0,White / -,-,missing_btc,missing_dr,missing_seats,VIC,4.0,2.2
Subaru,2016,Outback,2016 Subaru Outback 2.5I Premium,USED,Automatic,AWD,Premium,7.3,74983.0,Silver / Black,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.5
Porsche,2016,Macan,2016 Porsche Macan S Diesel,USED,Automatic,AWD,Diesel,6.1,86909.0,Black / -,6 cyl,SUV,4 Doors, 5 Seats, WA,6.0,3.0
Mitsubishi,2021,ASX,2021 Mitsubishi ASX ES (2WD),USED,Automatic,Front,Unleaded,7.6,44104.0,White / Black,4 cyl,SUV,4 Doors, 5 Seats,ACT,4.0,2.0
Mazda,2017,CX-5,2017 Mazda CX-5 Maxx (4X2),USED,Automatic,Front,Unleaded,6.9,58517.0,Silver / -,4 cyl,SUV,4 Doors, 5 Seats,QLD,4.0,2.0
Citroen,2013,C5,2013 Citroen C5 Exclusive V6 HDI,USED,Automatic,Front,Diesel,7.4,87629.0,Grey / -,6 cyl,Sedan,4 Doors, 5 Seats,NSW,6.0,3.0
BMW,2018,430I,2018 BMW 430I Gran Coupe,USED,Automatic,Rear,Premium,5.8,127495.0,Grey / Brown,4 cyl,Hatchback,4 Doors, 5 Seats, WA,4.0,2.0
Toyota,2011,Hiace,2011 Toyota Hiace LWB,USED,Automatic,Rear,Diesel,8.0,163866.0,Silver / Grey,4 cyl,Commercial,4 Doors, 3 Seats,NSW,4.0,3.0
Holden,2010,Calais,2010 Holden Calais V,USED,Automatic,Rear,Unleaded,10.3,184197.0,Grey / -,6 cyl,Wagon,4 Doors, 5 Seats,VIC,6.0,3.6
Volkswagen,2017,Tiguan,2017 Volkswagen Tiguan 162 TSI Sportline,USED,Automatic,AWD,Premium,8.1,75705.0,Red / Black Cloth,4 cyl,SUV,4 Doors, 5 Seats,ACT,4.0,2.0
Mitsubishi,2022,Triton,2022 Mitsubishi Triton GSR (4X4),DEMO,Automatic,4WD,Diesel,8.6,1272.0,Orange / Black Leather,4 cyl,Ute / Tray,4 Doors, 5 Seats,NSW,4.0,2.4
Holden,2009,Commodore,2009 Holden Commodore SS,USED,Automatic,Rear,Unleaded,7.6,186000.0,Black / Black,-,Wagon,missing_dr,missing_seats,VIC,4.0,2.2
Lexus,2020,RC350,2020 Lexus RC350 F Sport,USED,Automatic,Rear,Premium,9.1,29288.0,White / Black,6 cyl,Coupe,2 Doors, 4 Seats,ACT,6.0,3.5
Isuzu,2021,D-MAX,2021 Isuzu D-MAX SX (4X2) High-Ride,USED,Automatic,Front,Diesel,7.0,3212.0,White / Black,4 cyl,Ute / Tray,2 Doors, 2 Seats, WA,4.0,1.9
Mitsubishi,2006,Outlander,2006 Mitsubishi Outlander XLS,USED,Automatic,4WD,Unleaded,9.5,226000.0,Black / -,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,2.4
Mercedes-Benz,2015,B-Class,2015 Mercedes-Benz B-Class B200 DCT,USED,Automatic,Front,Premium,7.6,71000.0,White / Black,-,Hatchback,missing_dr,missing_seats,QLD,4.0,2.2
Kia,2020,Cerato,2020 Kia Cerato S Safety Pack,USED,Automatic,Front,Unleaded,7.4,55566.0,Grey / -,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,2.0
Holden,2005,Commodore,2005 Holden Commodore,USED,Manual,Rear,Unleaded,7.6,259743.0,Silver / -,6 cyl,Ute / Tray,2 Doors, 2 Seats, WA,6.0,3.6
Peugeot,2021,2008,2021 Peugeot 2008 Allure,USED,Automatic,Front,Premium,6.1,44064.0,Grey / Black,3 cyl,SUV,4 Doors, 5 Seats,VIC,3.0,1.2
Mitsubishi,2020,Triton,2020 Mitsubishi Triton GSR (4X4),USED,Automatic,4WD,Diesel,8.6,58592.0,Grey / Black Leather,4 cyl,Ute / Tray,4 Doors, 5 Seats,VIC,4.0,2.4
Suzuki,2013,Grand,2013 Suzuki Grand Vitara Urban (4X2),USED,Automatic,Rear,Unleaded,9.5,112100.0,White / Grey,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.4
BMW,2017,X3,2017 BMW X3 Xdrive 30D,USED,Automatic,4WD,Diesel,6.0,120000.0,Black / -,6 cyl,SUV,4 Doors, 5 Seats,QLD,6.0,3.0
Ford,2016,Kuga,2016 Ford Kuga Trend (awd),USED,Automatic,AWD,Diesel,5.5,90808.0,White / -,4 cyl,SUV,4 Doors, 5 Seats, WA,4.0,2.0
BMW,2016,X5,2016 BMW X5 Xdrive 25D,USED,Automatic,AWD,Diesel,6.0,180013.0,Grey / Black,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Toyota,2004,Estima,2004 Toyota Estima Aeras,USED,Automatic,Front,-,7.6,139648.0,White / -,4 cyl,Wagon,4 Doors,missing_seats,NSW,4.0,2.4
Holden,2017,Colorado,2017 Holden Colorado LT (4X4),USED,Automatic,4WD,Diesel,9.0,234032.0,White / Grey,4 cyl,Ute / Tray,4 Doors, 5 Seats,QLD,4.0,2.8
Volkswagen,2018,Polo,2018 Volkswagen Polo GTI,USED,Automatic,Front,Premium,6.1,43765.0,Blue / -,4 cyl,Hatchback,5 Doors, 5 Seats, WA,4.0,2.0
Kia,2021,Carnival,2021 Kia Carnival S,USED,Automatic,Front,Diesel,6.5,122545.0,Grey / Black,4 cyl,Wagon,4 Doors, 8 Seats,QLD,4.0,2.2
Volkswagen,2023,T-Cross,2023 Volkswagen T-Cross 85Tfsi Style (restricted Feat),NEW,Automatic,Front,Premium,5.4,13.0,White / Black,3 cyl,SUV,4 Doors, 5 Seats,NSW,3.0,1.0
Nissan,2013,X-Trail,2013 Nissan X-Trail ST (fwd),USED,Manual,Front,Unleaded,8.5,251398.0,White / -,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Toyota,2021,Corolla,2021 Toyota Corolla Ascent Sport Hybrid,USED,Automatic,Front,Hybrid,4.2,28534.0,White / Grey,4 cyl,Hatchback,5 Doors, 5 Seats,VIC,4.0,1.8
Renault,2020,Koleos,2020 Renault Koleos Intens X-Tronic (4X2),USED,Automatic,Front,Unleaded,8.1,75005.0,White / -,4 cyl,SUV,4 Doors, 5 Seats,TAS,4.0,2.5
Mitsubishi,2023,Eclipse,2023 Mitsubishi Eclipse Cross Exceed Phev (awd),DEMO,Automatic,AWD,-,1.9,609.0,Red / -,4 cyl,SUV,4 Doors, 5 Seats,QLD,4.0,2.4
Hyundai,2019,Tucson,2019 Hyundai Tucson Active (2WD),USED,Automatic,Front,Unleaded,7.9,61231.0,Silver / -,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Kia,2018,Cerato,2018 Kia Cerato S,USED,Automatic,Front,Unleaded,7.1,19158.0,Blue / -,4 cyl,Sedan,4 Doors, 5 Seats, SA,4.0,2.0
Ford,2015,Kuga,2015 Ford Kuga Ambiente (fwd),USED,Automatic,Front,Premium,7.2,120656.0,White / Black Cloth,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,1.5
Hyundai,2019,Santa,2019 Hyundai Santa FE Elite Crdi Satin (awd),USED,Automatic,AWD,Diesel,7.5,136001.0,White / -,4 cyl,SUV,4 Doors, 7 Seats, SA,4.0,2.2
MG,2023,ZS,2023 MG ZS EV Long Range,NEW,Automatic,Front,Electric,7.6,15.0,Red / Knight Black Synthetic Leather,0 L,SUV,4 Doors, 5 Seats,NSW,4.0,2.2
Lexus,2019,NX300,2019 Lexus NX300 Luxury (fwd),USED,Automatic,Front,Premium,7.7,76629.0,Grey / Black,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,2.0
Renault,2019,Koleos,2019 Renault Koleos ZEN X-Tronic (4X2),USED,Automatic,Front,Unleaded,8.1,62490.0,White / -,4 cyl,SUV,4 Doors, 5 Seats, WA,4.0,2.5
Holden,2012,Commodore,2012 Holden Commodore SV6 Thunder,USED,Manual,Rear,Unleaded,9.8,103373.0,White / -,6 cyl,Ute / Tray,2 Doors, 2 Seats, WA,6.0,3.6
GWM,2023,UTE,2023 GWM UTE Cannon Vanta (4X4),NEW,Automatic,4WD,Diesel,9.4,22.0,Blue / Black,4 cyl,Ute / Tray,4 Doors, 5 Seats,QLD,4.0,2.0
Honda,2014,Odyssey,2014 Honda Odyssey VTI,USED,Automatic,Front,Unleaded,7.6,89804.0,White / Black,4 cyl,Wagon,4 Doors, 8 Seats,VIC,4.0,2.4
Suzuki,2023,Ignis,2023 Suzuki Ignis GL,NEW,Automatic,Front,Premium,4.9,20.0,Grey / Black,4 cyl,SUV,4 Doors, 5 Seats,QLD,4.0,1.2
Jeep,2022,Grand,2022 Jeep Grand Cherokee Night Eagle 5 Seat (4X4),NEW,Automatic,4WD,-,9.9,35.0,White / -,6 cyl,SUV,4 Doors, 5 Seats,QLD,6.0,3.6
Toyota,2021,RAV4,2021 Toyota RAV4 Cruiser (2WD),USED,Automatic,Front,Unleaded,6.5,8028.0,Blue / Black,4 cyl,SUV,5 Doors, 5 Seats,VIC,4.0,2.0
Nissan,2018,Navara,2018 Nissan Navara ST (4X4),USED,Automatic,4WD,Diesel,7.0,85300.0,Black / Cloth,4 cyl,Ute / Tray,4 Doors, 5 Seats,VIC,4.0,2.3
Jeep,2013,Grand,2013 Jeep Grand Cherokee Laredo (4X2),USED,Automatic,Rear,Premium,10.1,146861.0,Silver / -,6 cyl,SUV,4 Doors, 5 Seats,VIC,6.0,3.6
Hyundai,2022,Tucson,2022 Hyundai Tucson (FWD),DEMO,Automatic,Front,Unleaded,8.1,2008.0,Silver / Black,4 cyl,SUV,4 Doors, 5 Seats,QLD,4.0,2.0
Mitsubishi,2020,Outlander,2020 Mitsubishi Outlander ES 7 Seat (awd),USED,Automatic,AWD,Unleaded,7.2,60880.0,White / -,4 cyl,SUV,4 Doors, 7 Seats,VIC,4.0,2.4
Kia,2018,Cerato,2018 Kia Cerato S (AV),USED,Automatic,Front,Unleaded,7.4,74263.0,White / -,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,2.0
Kia,2018,Carnival,2018 Kia Carnival S,USED,Automatic,Front,Unleaded,11.6,76213.0,White / Grey,6 cyl,Wagon,4 Doors, 8 Seats, WA,6.0,3.3
Nissan,2017,Pathfinder,2017 Nissan Pathfinder ST-L (4X2),USED,Automatic,Front,Premium,9.9,74131.0,White / Black,6 cyl,SUV,4 Doors, 7 Seats,VIC,6.0,3.5
Nissan,2019,Qashqai,2019 Nissan Qashqai TI,USED,Automatic,Front,Unleaded,6.9,41828.0,White / 2020/02,4 cyl,SUV,4 Doors, 5 Seats,QLD,4.0,2.0
Toyota,2013,Hilux,2013 Toyota Hilux SR5 (4X4),USED,Automatic,4WD,Diesel,9.3,211890.0,Blue / -,4 cyl,Ute / Tray,4 Doors, 5 Seats, WA,4.0,3.0
Porsche,2015,Cayenne,2015 Porsche Cayenne GTS,USED,Automatic,AWD,Premium,10.0,81708.0,White / Black,6 cyl,SUV,4 Doors, 5 Seats,NSW,6.0,3.6
Nissan,2010,Patrol,2010 Nissan Patrol ST (4X4),USED,Automatic,4WD,Diesel,11.8,209470.0,White / Cloth,4 cyl,SUV,4 Doors, 7 Seats,NSW,4.0,3.0
Toyota,2016,Hilux,2016 Toyota Hilux Workmate,USED,Manual,Rear,Diesel,7.7,167561.0,White / Cloth,4 cyl,Ute / Tray,2 Doors, 2 Seats,NSW,4.0,2.4
Lexus,2017,IS200T,2017 Lexus IS200T Luxury,USED,Automatic,Rear,Premium,7.5,54260.0,White / Black,4 cyl,Sedan,4 Doors, 5 Seats,VIC,4.0,2.0
Land,2016,Rover,2016 Land Rover Range Rover Sport 3.0 TDV6 SE,USED,Automatic,AWD,Diesel,7.3,90865.0,White / -,6 cyl,SUV,4 Doors, 5 Seats,NSW,6.0,3.0
Ford,2004,Falcon,2004 Ford Falcon XR8,USED,Automatic,Rear,Unleaded,14.5,194185.0,Green / Black,8 cyl,Sedan,4 Doors, 5 Seats,VIC,8.0,5.4
Honda,2013,Civic,2013 Honda Civic VTI-LN,USED,Automatic,Front,Premium,6.5,98984.0,Silver / -,4 cyl,Hatchback,5 Doors, 5 Seats,VIC,4.0,1.8
MG,2022,ZS,2022 MG ZS EV Essence,DEMO,Automatic,Front,Electric,7.6,875.0,Blue / Knight Black,0 L,SUV,4 Doors, 5 Seats,NSW,4.0,2.2
Mazda,2014,BT-50,2014 Mazda BT-50 XTR (4X4),USED,Automatic,4WD,Diesel,9.2,104719.0,Silver / Grey,5 cyl,Ute / Tray,4 Doors, 5 Seats,NSW,5.0,3.2
Jeep,2008,Wrangler,2008 Jeep Wrangler Unlimited Sport (4X4),USED,Automatic,4WD,Diesel,9.9,222627.0,Black / -,4 cyl,SUV,4 Doors, 5 Seats, WA,4.0,2.8
Audi,2022,A4,2022 Audi A4 Allroad 45 Tfsi Quattro Mhev,USED,-,AWD,Premium,7.4,14101.0,Grey / Black,4 cyl,Wagon,4 Doors, 5 Seats,VIC,4.0,2.0
Great,2020,Wall,2020 Great Wall Steed (4X2),USED,Manual,Rear,Premium,12.7,19310.0,White / -,4 cyl,Ute / Tray,4 Doors, 5 Seats,QLD,4.0,2.4
Dodge,2015,Journey,2015 Dodge Journey R/T,USED,Automatic,Front,Premium,10.4,135077.0,Black / -,6 cyl,SUV,4 Doors, 5 Seats,NSW,6.0,3.6
Nissan,2017,Qashqai,2017 Nissan Qashqai TI (4X2),USED,Automatic,Front,Unleaded,6.9,109736.0,Black / Black,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Mazda,2016,BT-50,2016 Mazda BT-50 XTR (4X4),USED,Automatic,4WD,Diesel,9.2,75690.0,White / Grey,5 cyl,Ute / Tray,4 Doors, 5 Seats,NSW,5.0,3.2
Honda,2012,Jazz,2012 Honda Jazz Vibe,USED,Automatic,Front,Unleaded,6.6,111323.0,Green / -,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,1.3
BMW,2012,118I,2012 BMW 118I,USED,Automatic,Rear,Premium,5.8,53447.0,White / Dakota Leather,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,1.6
Subaru,2014,XV,2014 Subaru XV 2.0I,USED,Automatic,AWD,Unleaded,7.1,140000.0,White / -,4 cyl,SUV,4 Doors, 5 Seats,TAS,4.0,2.0
Kia,2021,Seltos,2021 Kia Seltos Sport (fwd),USED,Automatic,Front,Unleaded,6.8,29890.0,Grey / Grey Cloth,4 cyl,SUV,4 Doors, 5 Seats,VIC,4.0,2.0
Jeep,2014,Grand,2014 Jeep Grand Cherokee Laredo (4X4),USED,Automatic,4WD,Diesel,7.5,114125.0,Grey / Cloth,6 cyl,SUV,4 Doors, 5 Seats,NSW,6.0,3.0
Hyundai,2015,Elantra,2015 Hyundai Elantra Active Special Edition,USED,Automatic,Front,Unleaded,7.1,69544.0,Blue / -,4 cyl,Sedan,4 Doors, 5 Seats,NSW,4.0,1.8
MG,2022,ZS,2022 MG ZS Excite,DEMO,Automatic,Front,Unleaded,7.1,15.0,Blue / Knight Black Synthetic Leather,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,1.5
Subaru,2012,Forester,2012 Subaru Forester X Limited Edition,USED,Manual,AWD,Unleaded,9.3,162000.0,Red / Grey Cloth,4 cyl,SUV,4 Doors, 5 Seats,QLD,4.0,2.5
MG,2023,ZST,2023 MG ZST Vibe,NEW,Automatic,Front,-,6.9,10.0,Blue / -,4 cyl,SUV,5 Doors, 5 Seats,QLD,4.0,1.5
Ford,2015,Everest,2015 Ford Everest Ambiente,USED,Automatic,AWD,Diesel,8.5,145341.0,White / -,5 cyl,SUV,4 Doors, 7 Seats,NSW,5.0,3.2
Hyundai,2014,IX35,2014 Hyundai IX35 Active (fwd),USED,Automatic,Front,Unleaded,8.4,74978.0,Red / Black,4 cyl,SUV,4 Doors, 5 Seats,QLD,4.0,2.0
Honda,2005,Accord,2005 Honda Accord VTI,USED,Automatic,Front,Unleaded,9.3,167562.0,Gold / -,4 cyl,Sedan,4 Doors, 5 Seats,NSW,4.0,2.4
Hyundai,2013,I20,2013 Hyundai I20 Active,USED,Automatic,Front,Unleaded,6.4,114059.0,Black / Grey,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,1.4
MG,2021,HS,2021 MG HS Core,USED,Automatic,Front,Unleaded,7.3,31456.0,White / Black,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,1.5
Renault,2016,Megane,2016 Renault Megane GT-Line,USED,Automatic,Front,Premium,5.6,149167.0,Red / Black,4 cyl,Wagon,4 Doors, 5 Seats,VIC,4.0,1.2
Volkswagen,2016,Passat,2016 Volkswagen Passat 132 TSI Comfortline,USED,Automatic,Front,Premium,6.0,50385.0,Silver / Leather,4 cyl,Sedan,4 Doors, 5 Seats,NSW,4.0,1.8
BMW,2017,X3,2017 BMW X3 Xdrive 30I,USED,Automatic,4WD,Premium,7.6,55396.0,Silver / -,4 cyl,SUV,4 Doors, 5 Seats,QLD,4.0,2.0
Hyundai,2011,Iload,2011 Hyundai Iload Crew,USED,Manual,Rear,Premium,10.1,269018.0,White / -,4 cyl,Commercial,4 Doors, 6 Seats,NSW,4.0,2.4
Holden,2017,UTE,2017 Holden UTE,USED,Automatic,Rear,Unleaded,9.9,203888.0,White / Grey,6 cyl,Ute / Tray,2 Doors, 2 Seats,VIC,6.0,3.6
Toyota,2018,Corolla,2018 Toyota Corolla SX (hybrid),USED,Automatic,Front,Hybrid,4.2,22405.0,White / Black,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,1.8
Toyota,2019,Hilux,2019 Toyota Hilux SR (4X4),USED,Automatic,4WD,Diesel,8.5,85732.0,White / Black Fabric,4 cyl,Ute / Tray,4 Doors, 5 Seats, WA,4.0,2.8
Skoda,2013,Octavia,2013 Skoda Octavia 103 TSI Ambition Plus,USED,Automatic,Front,Premium,5.2,141042.0,- / -,4 cyl,Hatchback,5 Doors, 5 Seats,NSW,4.0,1.4
Toyota,2015,HiAce,2015 Toyota HiAce LWB Crew,USED,Automatic,Rear,Diesel,8.0,97857.0,Blue / -,4 cyl,Commercial,4 Doors, 5 Seats,QLD,4.0,3.0
Toyota,2023,Hilux,2023 Toyota Hilux Workmate (4X2),USED,Manual,Front,Unleaded,11.1,2047.0,White / Black,4 cyl,Ute / Tray,2 Doors, 2 Seats,VIC,4.0,2.7
Hyundai,2017,Tucson,2017 Hyundai Tucson Elite (fwd),USED,Automatic,Front,Unleaded,7.9,59072.0,Blue / Leather,4 cyl,SUV,4 Doors, 5 Seats, SA,4.0,2.0
BMW,2015,225I,2015 BMW 225I Active Tourer Luxury Line,USED,Automatic,Front,Premium,6.1,46232.0,Blue / Black,4 cyl,Hatchback,4 Doors, 5 Seats,NSW,4.0,2.0
Ford,2022,Everest,2022 Ford Everest Trend (4X2),USED,Automatic,Rear,Diesel,7.1,15725.0,White / Grey / Leather,4 cyl,SUV,4 Doors, 7 Seats,NSW,4.0,2.0
BMW,2022,220I,2022 BMW 220I M Sport,DEMO,Automatic,Rear,Premium,6.3,194.0,Red / -,4 cyl,Coupe,2 Doors, 4 Seats, SA,4.0,2.0
Hyundai,2018,Tucson,2018 Hyundai Tucson Active X (fwd),USED,Automatic,Front,Unleaded,7.9,75612.0,White / Black,4 cyl,SUV,4 Doors, 5 Seats, SA,4.0,2.0
Jeep,2012,Grand,2012 Jeep Grand Cherokee Overland (4X4),USED,Automatic,AWD,Diesel,8.3,244213.0,Silver / -,6 cyl,SUV,4 Doors, 5 Seats,VIC,6.0,3.0
Toyota,2014,Alphard,2014 Toyota Alphard,USED,Automatic,Front,Unleaded,7.6,66000.0,Grey / -,-,Commercial,missing_dr, 7 Seats,QLD,4.0,2.2
Jeep,2013,Grand,2013 Jeep Grand Cherokee Laredo (4X4),USED,Automatic,4WD,Diesel,7.5,187400.0,Silver / -,6 cyl,SUV,4 Doors, 5 Seats,NSW,6.0,3.0
Holden,2008,Commodore,2008 Holden Commodore VE OMEGA,USED,Automatic,Other,Unleaded,7.6,238517.0,Grey / -,-,missing_btc,missing_dr,missing_seats, WA,4.0,2.2
Kia,2018,Sportage,2018 Kia Sportage SI (fwd),USED,Automatic,Front,Unleaded,7.9,32237.0,White / -,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.0
Toyota,2019,Landcruiser,2019 Toyota Landcruiser GXL (4X4),USED,Manual,4WD,Diesel,10.7,84283.0,White / -,8 cyl,Ute / Tray,2 Doors, 2 Seats, NT,8.0,4.5
Toyota,2006,RAV4,2006 Toyota RAV4 CV (4X4),USED,Automatic,4WD,Unleaded,9.6,274024.0,White / -,4 cyl,SUV,4 Doors, 5 Seats,NSW,4.0,2.4
Isuzu,2019,D-MAX,2019 Isuzu D-MAX SX (4X4),USED,Automatic,4WD,Diesel,7.9,171543.0,Silver / -,4 cyl,Ute / Tray,4 Doors, 5 Seats,NSW,4.0,3.0
Subaru,2020,Outback,2020 Subaru Outback 2.5I AWD,USED,Automatic,AWD,Unleaded,7.3,76202.0,Blue / Grey7/20,4 cyl,SUV,4 Doors, 5 Seats,TAS,4.0,2.5
